,Unnamed: 0,title,keywords,rating,genres
10,10,Chicka Chicka Boom Boom,"['capital', 'structure', 'like', 'toe', 'together', 'eye', 'jazz', 'full', 'relatives', 'audio', 'getting', 'book', 'rhyming', 'fall', 'scat', 'becoming', 'black', 'version', 'older', 'abc', 'climbing', 'improvisation', 'first', 'tree', 'knotted', 'loose', 'board', 'inspired', 'help', 'coconut', 'come', 'letters', 'stubbed', 'half', 'tooth']",10.0,"['picture', 'book', 'childrens', 'literature']"
11,11,Enigma,"['women', 'havoc', 'society', 'student', 'academic', 'forced', 'mate', 'nervous', 'alan', 'role', 'used', 'park', 'night', 'still', 'largest', 'along', 'jericho', 'pressure', 'back', 'colleagues', 'housing', 'second', 'battle', 'one', 'ancient', 'attractive', 'resemblance', 'washington', 'turf', 'allies', 'time', 'break', 'professor', 'times', 'signal', 'real', 'works', 'turing', 'emotionally', 'mathematician', 'papers', 'following', 'speed', 'school', 'opinion', 'war', 'british', 'germans', 'violation', 'internal', 'meet', 'young', 'leftist', 'win', 'breaking', 'organization', 'history', 'grim', 'shipping', 'invitation', 'operation', 'end', 'grounds', 'apart', 'tension', 'starts', 'college', 'american', 'strike', 'en', 'serious', 'clerk', 'fact', 'days', 'trip', 'officer', 'hut', 'rivalry', 'train', 'wallace', 'jealous', 'growing', 'wounded', 'series', 'code', 'atlantic', 'incident', 'reputation', 'wartime', 'german', 'little', 'though', 'wolf', 'see', 'naval', 'enigma', 'plot', 'winter', 'report', 'door', 'absent', 'many', 'book', 'security', 'cambridge', 'class', 'change', 'crossword', 'trust', 'people', 'route', 'investigator', 'romance', 'government', 'edge', 'two', 'room', 'chosen', 'cryptography', 'temporary', 'tips']",3.0,"['thriller', 'historical', 'fiction', 'fiction']"
12,12,The Eternal Champion,"['century', 'humanity', 'women', 'use', 'virtue', 'lack', 'attack', 'hunting', 'escapes', 'trapped', 'mount', 'carrying', 'single', 'destroying', 'large', 'engaged', 'total', 'still', 'strange', 'lands', 'major', 'becomes', 'races', 'ending', 'directed', 'battle', 'threat', 'one', 'marries', 'rest', 'ancient', 'destroyed', 'resemblance', 'actions', 'continent', 'time', 'allies', 'want', 'world', 'struggles', 'vow', 'fleet', 'secretly', 'avatar', 'asleep', 'bound', 'siege', 'works', 'motivations', 'make', 'killing', 'war', 'nature', 'john', 'surviving', 'fallen', 'weapons', 'king', 'taken', 'keeping', 'kind', 'genocide', 'away', 'desperate', 'army', 'eternal', 'inhabitants', 'hiding', 'teleport', 'term', 'history', 'repeated', 'allegiance', 'help', 'made', 'demonic', 'narrated', 'tolkien', 'near', 'aging', 'kills', 'champion', 'seeking', 'relatives', 'relative', 'deadly', 'ghost', 'united', 'prince', 'survivors', 'worlds', 'force', 'kill', 'campaign', 'sack', 'daughter', 'way', 'destruction', 'stop', 'reason', 'sword', '20th', 'elves', 'last', 'troops', 'swear', 'heroes', 'wound', 'though', 'familiar', 'new', 'inhuman', 'course', 'color', 'save', 'see', 'city', 'naval', 'transition', 'fight', 'human', 'attempt', 'understanding', 'strength', 'stronghold', 'medieval', 'legendary', 'many', 'expedition', 'falls', 'determined', 'recognize', 'minor', 'return', 'sleep', 'sister', 'destroy', 'released', 'narrator', 'dreams', 'machines', 'rescue', 'story', 'power', 'makes', 'people', 'southern', 'must', 'saving', 'magical', 'defeat', 'come', 'nights', 'two', 'disturbed', 'dark', 'choice', 'love', 'real', 'beginning']",8.0,"['fantasy', 'science', 'fiction', 'speculative', 'fiction', 'horror', 'fiction']"
13,13,Green for Danger,"['killed', 'operation', 'like', 'unmask', 'attempt', 'revealing', 'whodunit', 'patient', 'found', 'another', 'head', 'death', 'ill', 'british', 'nurse', 'hospital', 'states', 'presence', 'order', 'one', 'rural', 'place', 'inspector', 'murder']",8.666666667000001,"['crime', 'fiction', 'mystery', 'speculative', 'fiction', 'fiction', 'suspense']"
14,14,The Lost Language of Cranes,"['shave', 'see', 'room', 'big', 'man', 'bed', 'dorm', 'starts', 'needs', 'lives', 'derek', 'gay', 'old', 'broken', 'penn', 'experiences', 'apartment', 'sex', 'wrong', 'says', 'spurned', 'window', 'wake', 'another', 'philip', 'bar', 'talk', 'thing', 'soaked', 'someone', 'burger', 'eliot', 'getting', 'coming', 'days', 'back', 'mother', 'father', 'return', 'past', 'go', 'winston', 'king', 'cinema', 'one', 'going', 'way', 'acquaintance', 'drunk', 'comes', 'really', 'young', 'calls', 'childhood', 'flat', 'town', 'pornographic', 'son', 'hanging', 'research', 'account', 'friend', 'brad', 'place', 'child', 'foster', 'article', 'girls', 'call', 'time', 'rose', 'met', 'though', 'get', 'east', 'two', 'stay', 'lot', 'lost', 'half', 'remember', 'parents', 'goes']",3.0,['fiction']
15,15,The Space Merchants,"['climate', 'fit', 'ad', 'aggressive', 'far', 'colonists', 'human', 'harsh', 'mystery', 'thinking', 'businesses', 'basic', 'many', 'attract', 'states', 'becomes', 'generations', 'agency', 'overpopulated', 'venus', 'campaign', 'taken', 'survival', 'surface', 'advertising', 'change', 'political', 'life', 'place', 'water', 'characters', 'planet', 'public', 'lot', 'course', 'tale']",8.0,"['science', 'fiction', 'satire', 'speculative', 'fiction', 'dystopia', 'fiction']"
16,16,The Rag and Bone Shop,"['see', 'credible', 'like', 'room', 'end', 'interrogator', 'killed', 'twist', 'friends', 'ymca', 'old', 'riding', 'small', 'information', 'brother', 'dangling', 'told', 'begins', 'expecting', 'twelve', 'brutal', 'good', 'single', 'someone', 'innocent', 'death', 'role', 'point', 'girl', 'impossible', 'case', 'person', 'expert', 'confession', 'violent', 'jason', 'kill', 'seven', 'gives', 'science', 'butcher', 'one', 'believe', 'main', 'believes', 'position', 'novel', 'killer', 'woman', 'failed', 'older', 'taken', 'making', 'fighting', 'story', 'boy', 'quote', 'last', 'lonely', 'bulb', 'makes', 'knife', 'crime', 'suspect', 'friend', 'distorted', 'idea', 'maniac', 'year', 'fellow', 'tape', 'get', 'little', 'grabbing', 'interrogation', 'bully', 'murder', 'lot', 'lost', 'best', 'part', 'final', 'left']",8.0,"['childrens', 'literature', 'young', 'adult', 'literature', 'fiction']"
17,17,The Sands of Time,"['library', 'hot', 'city', 'ears', 'shop', 'old', 'buried', 'trouble', 'treachery', 'chipmunk', 'cats', 'trail', 'popular', 'talking', 'kingdom', 'long', 'way', 'appears', 'leading', 'really', 'ancient', 'claims', 'map', 'royal', 'friend', 'prehistoric', 'watchmaker', 'mysterious', 'tomb']",7.6,"['science', 'fiction', 'speculative', 'fiction']"
18,18,Ruined City,"['responsibility', 'lack', 'revolution', 'sons', 'derelict', 'still', 'travels', 'major', 'back', 'loyal', 'take', 'road', 'float', 'gives', 'becoming', 'order', 'something', 'one', 'foot', 'control', 'resemblance', 'affair', 'bound', 'employer', 'works', 'start', 'falsification', 'corporation', 'living', 'pain', 'die', 'henry', 'begins', 'years', 'make', 'manager', 'well', 'financier', 'early', 'release', 'house', 'cards', 'song', 'oil', 'three', 'going', 'taken', 'keeping', 'comes', 'making', 'market', 'offence', 'shoulders', 'divorce', 'bronze', 'us', 'belief', 'affection', 'health', 'former', 'orders', 'without', 'fictional', 'shipyard', 'help', 'made', 'proceedings', 'alice', 'hiking', 'money', 'drive', 'unemployment', 'warren', 'starts', 'letter', 'card', 'serious', 'severe', 'another', 'plan', 'good', 'criminal', 'head', 'starting', 'death', 'square', 'north', 'hospital', 'convalescence', 'states', 'perspective', 'recovering', 'way', 'gain', 'around', 'town', 'hard', 'firm', 'life', 'transport', 'concession', 'able', 'new', 'wife', 'graduate', 'law', 'hours', 'goes', 'floating', 'telling', 'city', 'unemployed', 'far', 'officials', 'full', 'loss', 'accident', 'london', 'many', 'tour', 'yard', 'wealthy', 'book', 'cheque', 'success', 'return', 'go', 'shady', 'nation', 'chauffeur', 'words', 'gift', 'story', 'stock', 'wallet', 'first', 'evidence', 'must', 'balkan', 'work', 'two', 'recover', 'love']",3.0,['fiction']
19,19,Changeling,"['castle', 'leaving', 'found', 'local', 'technology', 'parallel', 'recognize', 'back', 'kill', 'magic', 'order', 'long', 'victory', 'baby', 'spell', 'people', 'world', 'wizard', 'ways', 'pol', 'balance', 'parents']",3.0,"['speculative', 'fiction', 'fantasy']"
20,20,Madwand,"['lord', 'initiation', 'rites', 'still', 'survive', 'rule', 'implied', 'ever', 'sorcerer', 'take', 'training', 'sequel', 'story', 'son', 'control', 'must', 'pol', 'come', 'natural', 'fantastic', 'powerful']",7.0,"['speculative', 'fiction', 'fantasy']"
21,21,Barney's Version,"['end', 'previous', 'police', 'told', 'autobiography', 'mystery', 'book', 'may', 'recounting', 'states', 'marriages', 'three', 'version', 'unreliable', 'given', 'events', 'story', 'explanation', 'son', 'suspect', 'life', 'friend', 'memory', 'written', 'mysterious', 'though', 'mental', 'two', 'disappearance']",8.0,[]
22,22,The Viceroy of Ouidah,"['life', 'francisco', 'trader', 'de', 'caught', 'novel', 'fictional', 'historical', 'based', 'west', 'slave', 'coast', 'violence', 'coup', 'da', 'loosely', 'powerful']",3.0,[]
23,23,Flashman,"['lord', 'hussars', 'siege', 'opponent', 'quartered', 'hopes', 'thirty', 'rugby', 'fight', 'top', 'riding', 'duty', 'unfaithful', 'expulsion', 'forced', 'make', 'found', 'another', 'frontier', 'death', 'large', 'duel', 'empire', 'triumph', 'language', 'british', 'pistol', 'blank', 'stand', 'marrying', 'kill', 'retreat', 'gives', 'drunkenness', 'one', 'alive', 'skills', 'comes', 'action', 'fighting', 'given', 'army', 'shoots', 'duke', 'fame', 'last', 'first', 'hiding', 'regiment', 'fellow', 'respect', 'bottle', 'reputation', 'worst', 'advantage', 'adventures', 'best', 'wife', 'affair', 'light', 'money']",10.0,"['historical', 'fiction', 'fiction', 'historical']"
24,24,Lost City,"['century', 'strongbox', 'crew', 'attack', 'lab', 'animals', 'phone', 'plane', 'jules', 'trapped', 'envelope', 'large', 'bernard', 'conference', 'lands', 'expert', 'pistol', 'coming', 'along', 'becomes', 'colleagues', 'back', 'authorities', 'coat', 'something', 'one', 'riddle', 'austin', 'woman', 'arms', 'press', 'evening', 'time', 'call', 'ice', 'border', 'flying', 'killed', 'like', 'start', 'derek', 'small', 'suit', 'living', 'message', 'begins', 'saved', 'four', 'box', 'joe', 'found', 'within', 'scottish', 'frozen', 'possession', 'strong', 'greek', 'day', 'early', 'newspaper', 'ever', 'hundred', 'jodie', 'pay', 'three', 'mediterranean', 'long', 'scientists', 'helmet', 'storyline', 'comes', 'surface', 'laboratory', 'television', 'got', 'place', 'glacier', 'turkey', 'former', 'searching', 'muscular', 'chopper', 'reality', 'shore', 'help', 'team', 'flashback', 'journalist', 'archaeological', 'man', 'underground', 'hank', 'bald', 'old', 'buried', 'du', 'waters', 'dressed', 'shot', 'monastery', 'another', 'hole', 'island', 'leader', 'reason', 'terrible', 'alps', 'le', 'next', 'telephone', 'leg', 'news', 'board', 'get', 'though', 'headed', 'state', 'lost', 'show', 'part', 'hours', 'see', 'telling', 'explosion', 'trouble', 'flooding', 'full', 'high', 'rocks', 'tour', 'enzyme', 'artifact', 'barrier', 'tunnel', 'switzerland', 'feet', 'body', 'giving', 'running', 'studying', 'squad', 'watching', 'home', 'present', 'saying', 'company', 'rescue', 'french', 'filmed', 'group', 'great', 'kidnapped', 'story', 'beautiful', 'outside', 'inside', 'deep', 'trade', 'crack', 'research', 'cut', 'creatures', 'water', 'hired', 'discovery', 'hit', 'two', 'flight', 'river', 'meet']",7.0,"['thriller', 'adventure']"
25,25,Hunter,"['use', 'assassination', 'overthrow', 'wishes', 'kills', 'american', 'strike', 'top', 'fight', 'jewish', 'begins', 'following', 'career', 'girlfriend', 'revealing', 'dilemma', 'ambitious', 'stir', 'found', 'side', 'attempted', 'head', 'parking', 'assassinating', 'push', 'mixed', 'middle', 'early', 'states', 'christian', 'bargain', 'personal', 'united', 'late', 'broadcasting', 'kill', 'undercover', 'system', 'white', 'campaign', 'oppose', 'black', 'draw', 'challenge', 'order', 'one', 'go', 'mossad', 'appears', 'economy', 'agent', 'group', 'developing', 'story', 'television', 'power', 'intentions', '1980s', 'control', 'chaos', 'fbi', 'media', 'actions', 'racial', 'orders', 'caught', 'agents', 'senior', 'social', 'evangelist', 'work', 'official', 'reform', 'government', 'violence', 'working', 'sophisticated', 'set', 'couples', 'temporary']",3.0,"['speculative', 'fiction']"
26,26,Flashman and the Redskins,"['kit', 'see', 'selling', 'killed', 'kept', 'friends', 'shop', 'attack', 'living', 'relationship', 'escapes', 'sex', 'saved', 'choice', 'make', 'tribe', 'lead', 'wagon', 'collection', 'death', 'leave', 'north', 'looking', 'falls', 'travels', 'rape', 'book', 'candy', 'shepherd', 'becomes', 'marrying', 'take', 'sioux', 'charge', 'becoming', 'threat', 'daughter', 'one', 'frank', 'prostitutes', 'orleans', 'santa', 'company', 'toys', 'rest', 'meet', 'group', 'armstrong', 'slave', 'kidnapped', 'illegitimate', 'better', 'captive', 'son', 'life', 'stricken', 'arthur', 'jilted', 'former', 'time', 'defeat', 'get', 'difficult', 'america', 'guidance', 'fort', 'two', 'made', 'new', 'safety', 'set', 'band', 'custer', 'bundle', 'george', 'left', 'dollars', 'behind']",9.0,"['historical', 'fiction', 'fiction', 'historical']"
27,27,Donnerjack,"['must', 'connected', 'gods', 'independent', 'death', 'many', 'reality', 'rescue', 'computers', 'book', 'come', 'hero', 'myth', 'jack', 'major', 'gone', 'actual', 'high', 'virtual', 'features']",8.0,"['science', 'fiction', 'speculative', 'fiction']"
28,28,The House on the Borderland,"['information', 'men', 'sea', 'knowledge', 'search', 'large', 'night', 'record', 'travels', 'strange', 'creature', 'along', 'travel', 'becomes', 'back', 'identical', 'unknown', 'suffering', 'one', 'appears', 'dead', 'daily', 'struggle', 'evil', 'plain', 'arena', 'time', 'world', 'pit', 'remote', 'short', 'experiences', 'begins', 'chasm', 'speed', 'make', 'found', 'village', 'rock', 'day', 'house', 'fallen', 'sun', 'long', 'comes', 'everything', 'rescues', 'surroundings', 'place', 'made', 'demonic', 'man', 'kills', 'recluse', 'faithful', 'ruins', 'surrounded', 'million', 'good', 'side', 'attacked', 'starting', 'locked', 'dam', 'swine', 'days', 'collapse', 'study', 'mountains', 'around', 'journal', 'last', 'returned', 'life', 'center', 'stands', 'discover', 'lost', 'new', 'origin', 'goes', 'save', 'green', 'manuscript', 'humanoid', 'vision', 'dog', 'door', 'horrors', 'leave', 'tunnel', 'seeing', 'gardens', 'third', 'decay', 'sister', 'reunites', 'leading', 'great', 'rural', 'outside', 'shoots', 'creatures', 'pepper', 'water', 'mythological', 'menacing', 'nights', 'two', 'diary', 'trap', 'river']",6.666666667,"['fantasy', 'science', 'fiction', 'speculative', 'fiction', 'horror', 'fiction']"
29,29,The Hundred Dresses,"['classmates', 'blue', 'contest', 'talent', 'dress', 'old', 'letter', 'laugh', 'apology', 'closet', 'post', 'school', 'students', 'leave', 'day', 'awe', 'book', 'becomes', 'corner', 'hundred', 'draw', 'forward', 'class', 'one', 'feel', 'poor', 'classroom', 'away', 'beautiful', 'claims', 'last', 'funny', 'office', 'faded', 'must', 'schoolmates', 'worst', 'seat', 'girls', 'want', 'teacher', 'remorse', 'drawing', 'tease', 'lie']",3.0,"['speculative', 'fiction', 'fiction']"
30,30,Archer's Goon,"['family', 'use', 'lives', 'quest', 'police', 'closed', 'visit', 'night', 'still', 'elizabethan', 'aim', 'rule', 'may', 'becomes', 'pressure', 'back', 'take', 'building', 'travel', 'seven', 'gives', 'farms', 'unknown', 'order', 'second', 'one', 'locks', 'play', 'rest', 'accounts', 'child', 'industry', 'time', 'want', 'world', 'stay', 'miraculously', 'secretly', 'adopted', 'half', 'final', 'siblings', 'like', 'cause', 'start', 'short', 'promises', 'howard', 'small', 'seek', 'years', 'says', 'actual', 'typewriter', 'taxes', 'led', 'found', 'ages', 'civilization', 'radio', 'free', 'awful', 'transforming', 'house', 'plans', 'infant', 'white', 'three', 'street', 'long', 'going', 'mirror', 'musical', 'comes', 'sibling', 'meet', 'english', 'young', 'action', 'making', 'check', 'design', 'hiding', 'space', 'threatens', 'place', 'walk', 'help', 'lift', 'superior', 'candidate', 'archives', 'reveals', 'fantastic', 'money', 'parents', 'things', 'stairs', 'exemption', 'starts', 'learning', 'letter', 'run', 'post', 'leaving', 'ultimate', 'good', 'plan', 'locked', 'revelation', 'nonsense', 'form', 'messenger', 'trip', 'believes', 'way', 'problems', 'stop', 'author', 'town', 'writing', 'hathaway', 'next', 'electricity', 'interrupted', 'life', 'children', 'board', 'instruments', 'laid', 'user', 'get', 'little', 'though', 'quentin', 'purpose', 'household', 'goes', 'stops', 'see', 'city', 'job', 'wishes', 'needs', 'step', 'car', 'escape', 'door', 'full', 'ginger', 'leave', 'replacement', 'gas', 'repeat', 'archer', 'boys', 'return', 'music', 'agreement', 'sister', 'home', 'words', 'bank', 'sewer', 'goon', 'installation', 'inside', 'group', 'outside', 'deep', 'au', 'makes', 'cut', 'must', 'spaceship', 'magical', 'wizard', 'alpha', 'sample', 'come', 'two', 'set', 'love', 'figure']",3.0,"['speculative', 'fiction', 'fantasy', 'childrens', 'literature']"
31,31,Lion in the Valley,"['family', 'excavate', 'interest', 'keeper', 'interacts', 'returning', 'previous', 'englishman', 'cairo', 'relationships', 'criminal', 'taking', 'large', 'donald', 'looking', 'hashish', 'person', 'egyptian', 'seeing', 'pseudonym', 'return', 'tied', 'hand', 'reader', 'one', 'appears', 'amelia', 'young', 'master', 'egypt', 'story', 'behavior', 'troubled', 'first', 'series', 'offering', 'god', 'lady', 'time', 'key', 'number', 'set', 'illegally', 'communion', 'real', 'stolen']",7.5,"['mystery', 'historical']"
32,32,Double Whammy,"['blame', 'project', 'corporate', 'lives', 'decker', 'wrong', 'fishing', 'local', 'used', 'strange', 'calling', 'cane', 'expert', 'network', 'back', 'detective', 'housing', 'becoming', 'reporter', 'dead', 'tournament', 'gang', 'time', 'trying', 'model', 'interviews', 'development', 'tv', 'tracking', 'short', 'camera', 'led', 'found', 'charles', 'skeptical', 'early', 'newspaper', 'hermit', 'morning', 'going', 'rival', 'catch', 'photograph', 'comes', 'hometown', 'lake', 'former', 'fisherman', 'bad', 'hotel', 'money', 'old', 'lights', 'bass', 'boat', 'another', 'death', 'tycoon', 'crash', 'equipment', 'kill', 'fashion', 'advice', 'believes', 'reclusive', 'fanatic', 'miami', 'massive', 'richard', 'shoot', 'finding', 'private', 'clues', 'mammoth', 'murder', 'remains', 'assignment', 'hours', 'financial', 'floating', 'car', 'louisiana', 'kid', 'sunk', 'teaching', 'reverend', 'coroner', 'accident', 'steal', 'sugar', 'publicity', 'christian', 'stunt', 'seeing', 'waiting', 'sleep', 'main', 'failure', 'memorial', 'prison', 'assaulting', 'celebrity', 'account', 'investigator', 'work', 'evangelist', 'hired', 'edge', 'tail', 'al', 'room', 'thing']",8.384615385,"['mystery', 'suspense']"
33,33,Call for the Dead,"['use', 'police', 'stranger', 'interviewing', 'knowledge', 'covert', 'accused', 'theatre', 'someone', 'local', 'night', 'smiley', 'service', 'exchange', 'back', 'concentration', 'one', 'peter', 'agent', 'inspector', 'fellow', 'call', 'trying', 'world', 'offer', 'reports', 'killed', 'like', 'returning', 'murdered', 'jewish', 'zurich', 'turns', 'verge', 'war', 'notes', 'circus', 'going', 'investigation', 'check', 'office', 'orders', 'ii', 'number', 'working', 'matches', 'george', 'suicide', 'resignation', 'end', 'retirement', 'kills', 'letter', 'cover', 'attacked', 'cars', 'criminal', 'head', 'taking', 'estranged', 'track', 'accomplice', 'days', 'officer', 'believes', 'servant', 'courier', 'parked', 'saw', 'last', 'diplomatic', 'meeting', 'routine', 'german', 'wife', 'adam', 'see', 'blond', 'resident', 'car', 'expecting', 'spy', 'anonymous', 'talking', 'security', 'foreign', 'music', 'home', 'civil', 'secret', 'inside', 'husband', 'tall', 'camp', 'rush', 'east', 'two', 'meet']",8.0,"['crime', 'fiction', 'spy', 'fiction']"
34,34,In Custody,"['hindi', 'college', 'chance', 'living', 'great', 'literature', 'teaching', 'true', 'meet', 'lie']",5.0,['fiction']
